timestamp,peak_demand_mw,average_demand_mw,min_demand_mw,peak_temperature
2026-09-01,6854.48583984375,6038.344482421875,4702.94580078125,34.3
2026-09-02,6676.0263671875,5903.6533203125,4675.89453125,32.5
2026-09-03,6496.85693359375,5870.979085286458,4703.810546875,31.8
2026-09-04,6480.77490234375,5804.247823079427,4709.43603515625,30.2
2026-09-05,6096.92529296875,5475.897969563802,4516.5947265625,28.1
2026-09-06,6074.93505859375,5468.012268066406,4440.8701171875,29.3
2026-09-07,6532.00830078125,5815.285217285156,4571.23388671875,32.1
